Wall time,Step,Value
1549626871,3766,0.036190879
1549626887,3774,0.033317219
1549626896,3778,0.039241057
1549626900,3780,0.03598449
1549626904,3782,0.033192299
1549626906,3783,0.033734836
1549626918,3789,0.034630276
1549626928,3793,0.040078651
1549626933,3795,0.045658238
1549626937,3797,0.048981123
1549626944,3800,0.042587128
1549626963,3809,0.675451756
1549626967,3811,0.549007714
1549626969,3812,0.495111376
1549626977,3816,0.32873553
1549626988,3821,0.203048006
1549626992,3823,0.179313093
1549627013,3833,0.076369844
1549627017,3835,0.066831514
1549627022,3837,0.064293399
1549627069,3850,0.028978083
1549627077,3854,0.024826981
1549627081,3856,0.02091567
1549627102,3866,0.02845287
1549627113,3871,0.029005796
